nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0031983,tt0053137,tt0050419,tt0072308
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0038355,tt0037382,tt0071877,tt0117057
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,music_department	tt0057345,tt0056404,tt0049189,tt0054452
nm0000004	John Belushi	1949	1982	actor,soundtrack,writer	tt0080455,tt0072562,tt0077975,tt0078723
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0050986,tt0083922,tt0060827,tt0050976
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0034583,tt0077711,tt0038109,tt0036855
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0033870,tt0034583,tt0042593,tt0043265
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0078788,tt0070849,tt0068646,tt0047296
nm0000009	Richard Burton	1925	1984	actor,soundtrack,producer	tt0057877,tt0061184,tt0059749,tt0087803
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0031867,tt0042041,tt0035575,tt0029870
nm0000011	Gary Cooper	1901	1961	actor,soundtrack,producer	tt0027996,tt0035211,tt0034167,tt0044706
nm0000012	Bette Davis	1908	1989	actress,soundtrack,make_up_department	tt0035140,tt0042192,tt0031210,tt0056687
nm0000013	Doris Day	1922	2019	soundtrack,actress,producer	tt0048317,tt0045591,tt0053172,tt0049470
nm0000014	Olivia de Havilland	1916	2020	actress,soundtrack	tt0031381,tt0040806,tt0029843,tt0041452
nm0000015	James Dean	1931	1955	actor,miscellaneous	tt0044245,tt0048028,tt0048545,tt0049261
nm0000016	Georges Delerue	1925	1992	composer,soundtrack,music_department	tt0096320,tt0057345,tt0091763,tt0069946
nm0000017	Marlene Dietrich	1901	1992	soundtrack,actress,music_department	tt0051201,tt0052311,tt0021156,tt0055031
nm0000018	Kirk Douglas	1916	2020	actor,producer,soundtrack	tt0054331,tt0043465,tt0049456,tt0043338
nm0000019	Federico Fellini	1920	1993	writer,director,assistant_director	tt0050783,tt0071129,tt0047528,tt0056801
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0032551,tt0050083,tt0051207,tt0082846
nm0000021	Joan Fontaine	1917	2013	actress,soundtrack,producer	tt0040536,tt0032976,tt0034248,tt0035751
nm0000022	Clark Gable	1901	1960	actor,soundtrack,producer	tt0023382,tt0026752,tt0031381,tt0025316
nm0000023	Judy Garland	1922	1969	soundtrack,actress	tt0032138,tt0047522,tt0055031,tt0037059
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0071877,tt0082031,tt0045943,tt0117631
nm0000025	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer	tt0117731,tt0112715,tt0077269,tt0119488
nm0000026	Cary Grant	1904	1986	actor,soundtrack,producer	tt0056923,tt0053125,tt0034248,tt0048728
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0051739,tt0050212,tt0041546,tt0076759
nm0000028	Rita Hayworth	1918	1987	actress,soundtrack,producer	tt0035103,tt0038559,tt0036723,tt0040525
nm0000029	Margaux Hemingway	1954	1996	actress,miscellaneous	tt0077800,tt0110138,tt0074802,tt0102122
nm0000030	Audrey Hepburn	1929	1993	actress,soundtrack	tt0058385,tt0056923,tt0054698,tt0046250
nm0000031	Katharine Hepburn	1907	2003	actress,soundtrack,writer	tt0063227,tt0082846,tt0043265,tt0032904
nm0000032	Charlton Heston	1923	2008	actor,director,writer	tt0052618,tt0070723,tt0063442,tt0049833
nm0000033	Alfred Hitchcock	1899	1980	director,producer,actor	tt0053125,tt0052357,tt0040746,tt0054215
nm0000034	William Holden	1918	1981	actor,soundtrack	tt0074958,tt0047437,tt0046359,tt0043014
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0090633,tt0120338,tt0499549,tt0120746
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0019421,tt0016332,tt0015324,tt0017925
nm0000037	Gene Kelly	1912	1996	soundtrack,actor,director	tt0053946,tt0043278,tt0041716,tt0045152
nm0000038	Grace Kelly	1929	1982	actress,soundtrack	tt0046874,tt0047396,tt0046912,tt0048728
nm0000039	Deborah Kerr	1921	2007	actress,soundtrack	tt0050105,tt0039192,tt0045793,tt0049408
nm0000040	Stanley Kubrick	1928	1999	director,writer,producer	tt0072684,tt0066921,tt0120663,tt0062622
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0047478,tt0089881,tt0051808,tt0080979
nm0000042	Alan Ladd	1913	1964	actor,producer,camera_department	tt0039056,tt0046303,tt0035432,tt0038369
nm0000043	Veronica Lake	1922	1973	actress,soundtrack,producer	tt0038369,tt0034798,tt0034240,tt0035432
nm0000044	Burt Lancaster	1913	1994	actor,producer,miscellaneous	tt0080388,tt0045793,tt0050468,tt0051036
nm0000045	Bruce Lee	1940	1973	actor,writer,miscellaneous	tt0068935,tt0067824,tt0068767,tt0070034
nm0000046	Vivien Leigh	1913	1967	actress,soundtrack,writer	tt0044081,tt0033238,tt0034272,tt0031381
nm0000047	Sophia Loren	1934	\N	actress,soundtrack	tt0060121,tt0058335,tt0076085,tt0054749
nm0000048	Peter Lorre	1904	1964	actor,soundtrack,writer	tt0033870,tt0034583,tt0036613,tt0022100
