2061584302096|2012-07-20T04:02:05.256+0000|92.39.58.88|Chrome|thx|3
1786706395169|2012-03-21T18:44:14.027+0000|92.39.58.88|Chrome|About Genghis Khan, Making of the ModernAbout Elizabeth II, rity rebounded af|77
412316860465|2010-07-07T03:43:08.640+0000|213.55.127.9|Internet Explorer|About George Albert Boulenger, ber 1858 – 23 November 1937) was a Belgian-British zoologist who identified over 2,000 new|121
962072674369|2011-04-15T01:15:09.490+0000|213.55.127.9|Internet Explorer|good|4
687194767788|2010-11-23T01:59:19.405+0000|31.130.237.152|Internet Explorer|yes|3
137438953917|2010-04-28T12:07:35.253+0000|31.130.237.152|Internet Explorer|About Edvard Munch, f the main tenets of late About Vladimir Putin, automotive industry. EconoAbout Ray of Light, ctronic music within its cAbout Smells|152
1374389535181|2011-10-07T14:25:58.134+0000|190.6.90.133|Chrome|no way!|7
1374389535196|2011-10-07T09:57:02.732+0000|62.63.235.185|Opera|About Sammy Sosa,  home runAbout Henry V of England, f dysenteAbout Niandr|74
687194767854|2010-11-22T01:42:54.870+0000|31.130.237.152|Internet Explorer|LOL|3
687194767869|2010-11-22T15:42:20.032+0000|62.102.148.70|Firefox|ok|2
962072674832|2011-04-07T02:16:47.808+0000|91.149.169.27|Chrome|About Louis I of Hungary, ch who came into collision with the OttomAbout Mongolia|81
962072674847|2011-04-07T04:57:59.800+0000|80.191.83.175|Chrome|LOL|3
561|2010-02-19T08:42:39.307+0000|62.93.169.198|Internet Explorer|About Queen Victoria, ory, is known as the Victorian era. It was a period of industrial, |89
1649267442242|2012-01-19T15:25:47.652+0000|31.131.92.207|Chrome|ok|2
1649267442257|2012-01-20T01:43:26.040+0000|46.17.91.36|Chrome|duh|3
1099511628387|2011-07-03T07:25:03.408+0000|80.191.83.175|Chrome|About John Mayer, orn and Raised, was released on May 22, 2012. About Stoned Love, instead|90
1099511628403|2011-05-28T19:53:33.483+0000|192.223.88.63|Chrome|About Louis I of Hungary, garian: Лудвиг I, Serbian: Лајош I АнжујсAbout Will.i.a|81
549755814535|2010-10-31T04:55:00.077+0000|31.31.175.171|Chrome|I see|5
1511828488857|2011-12-21T04:00:36.878+0000|200.13.148.38|Internet Explorer|no|2
1511828488873|2011-12-23T01:55:39.875+0000|192.223.88.63|Chrome|right|5
549755814585|2010-11-01T13:54:56.370+0000|200.13.148.38|Internet Explorer|thx|3
549755814602|2010-10-31T08:36:34.594+0000|31.31.175.171|Chrome|About Andrew Carnegie, t profitableAbout John F. Kennedy,  for JetBlueAbout Ho Chi|82
549755814619|2010-10-30T21:31:57.755+0000|31.31.175.171|Chrome|ok|2
549755814635|2010-11-01T16:42:38.491+0000|31.31.175.171|Chrome|cool|4
549755814652|2010-10-31T17:01:53.863+0000|62.93.169.198|Firefox|ok|2
549755814669|2010-10-13T10:21:41.761+0000|27.98.231.75|Safari|maybe|5
412316861217|2010-08-21T04:25:02.617+0000|27.98.231.75|Safari|About John Adams, usic in 2003), and Shaker Loops (1978), a minimalist four-mo|78
274877907761|2010-06-29T16:12:42.173+0000|27.116.16.69|Chrome|About Doris Day, ater, the Doris Day Animal League. EstaAbout Funny How Time|76
274877907777|2010-06-08T23:14:06.597+0000|61.95.185.176|Firefox|duh|3
412316861280|2010-08-17T22:04:03.725+0000|61.246.227.11|Firefox|thx|3
1511828489072|2011-12-15T05:15:11.816+0000|14.102.176.115|Firefox|About Evo Morales, e gas conflict and the Cochabamba protests of 2000. The MAS claimed thatAbout Ottoman Empire, hate was abolished on 3 March |143
1099511628672|2011-05-26T04:38:34.928+0000|61.246.227.11|Firefox|duh|3
412316861347|2010-09-02T06:24:23.036+0000|202.1.245.12|Firefox|roflol|6
962072675252|2011-05-06T16:23:22.647+0000|60.250.7.5|Chrome|good|4
549755814853|2010-09-27T02:37:25.749+0000|61.95.185.176|Firefox|cool|4
687194768343|2010-11-14T08:20:08.206+0000|49.14.88.16|Internet Explorer|maybe|5
137438954473|2010-03-28T04:05:01.398+0000|61.95.243.248|Internet Explorer|LOL|3
137438954492|2010-04-25T07:35:41.643+0000|61.247.252.135|Firefox|no way!|7
962072675340|2011-03-19T06:01:46.685+0000|27.54.166.12|Internet Explorer|About Turn Around, Look at Me, version as a single. This was his first song to|78
687194768412|2010-12-31T20:26:02.676+0000|61.95.243.248|Internet Explorer|About Jacqueline Kennedy Onassis, e was the first and only Catholic to serve asAbout Nanc|89
412316861486|2010-08-30T20:56:04.705+0000|61.247.252.135|Firefox|thx|3
412316861505|2010-08-29T16:17:20.419+0000|61.247.252.135|Firefox|LOL|3
274877908050|2010-06-17T10:42:10.053+0000|49.14.88.16|Internet Explorer|About Jack Nicholson, r in 2001. In 1994, he became one of thAbout Englishman in New York, gle. The remix played ar|115
274877908065|2010-06-18T10:32:59.850+0000|61.247.252.135|Firefox|no way!|7
274877908084|2010-06-16T12:53:28.824+0000|61.247.252.135|Firefox|yes|3
687194768916|2010-11-09T06:23:23.020+0000|193.34.198.27|Opera|no way!|7
274877908516|2010-06-25T23:32:08.936+0000|31.31.175.171|Chrome|fine|4
962072675892|2011-04-04T19:57:28.705+0000|193.34.198.27|Opera|no|2
824633722450|2011-02-27T03:10:33.643+0000|27.113.173.27|Opera|About Saint George, ce, India, Iraq, Lithuania, Palestine, PorAbout Golden Horde, e|83
1786706396770|2012-04-28T19:17:21.517+0000|14.102.129.23|Internet Explorer|duh|3
1786706396786|2012-04-29T10:46:48.573+0000|46.227.61.58|Internet Explorer|good|4
1511828489860|2012-01-05T02:50:29.169+0000|41.206.154.129|Chrome|right|5
412316862100|2010-08-19T22:52:19.088+0000|193.34.198.27|Opera|maybe|5
412316862116|2010-08-19T13:25:33.129+0000|31.31.175.171|Chrome|great|5
962072676020|2011-04-20T13:42:09.101+0000|46.227.61.58|Internet Explorer|fine|4
1511828489924|2012-01-05T02:58:19.034+0000|89.19.2.177|Chrome|About Franz Schubert, requently perAbout Ennio Morricone, came to the aAbout Sanath Jayasuriya, s and was eleAbou|113
274877909018|2010-05-21T04:00:35.069+0000|61.0.119.29|Firefox|About Rumi, d one of the crownAbout Edward III of England, known as the HundrAbout Me|85
687194769450|2010-11-12T06:28:02.274+0000|27.123.96.50|Firefox|maybe|5
2061584304186|2012-09-05T18:39:31.420+0000|46.18.90.127|Firefox|LOL|3
2125|2010-02-28T13:51:58.714+0000|27.255.209.56|Chrome|roflol|6
962072676445|2011-04-05T01:27:18.440+0000|49.238.57.141|Internet Explorer|I see|5
1236950583406|2011-09-05T18:55:57.384+0000|61.0.85.8|Firefox|no way!|7
137438955647|2010-04-21T07:09:17.349+0000|61.2.120.54|Internet Explorer|good|4
1099511629967|2011-06-16T04:24:49.373+0000|27.61.219.156|Firefox|About From the Muddy Banks of the Wishkah,  York (1994), which featuresAbout Your|81
1786706397343|2012-04-21T13:59:39.645+0000|27.113.253.185|Internet Explorer|right|5
1236950583489|2011-07-15T19:26:01.180+0000|49.42.141.37|Internet Explorer|fine|4
2257|2010-02-27T12:12:49.102+0000|61.2.120.54|Internet Explorer|About Rumi, red deviantAbout Camille Saint-Saëns, -Romantic cAbout Norah Jones, i Nor|85
137438955745|2010-03-21T14:31:33.378+0000|61.0.119.29|Firefox|LOL|3
824633723122|2011-01-31T03:27:31.743+0000|101.213.69.21|Internet Explorer|thanks|6
962072676621|2011-04-14T07:08:06.228+0000|1.187.77.160|Internet Explorer|About Rumi, ersia (in what isAbout Edward Heath, y. Two miners' stAbout John Kerry,|83
137438955805|2010-04-07T01:35:38.846+0000|61.95.139.96|Firefox|yes|3
2061584304479|2012-07-20T21:47:34.623+0000|27.107.78.255|Internet Explorer|thx|3
2061584304494|2012-07-20T21:03:09.129+0000|49.13.89.193|Firefox|fine|4
1924145351038|2012-05-11T15:16:19.451+0000|101.2.5.126|Firefox|thanks|6
412316862876|2010-08-04T00:06:44.358+0000|103.1.127.92|Firefox|About Rumi,  (in the 8About Friedrich Nietzsche, st and antAbout William McKinley, in 1|87
274877909420|2010-05-27T07:19:39.570+0000|49.42.141.37|Internet Explorer|roflol|6
412316862910|2010-08-04T10:08:53.405+0000|103.1.126.208|Internet Explorer|duh|3
137438955982|2010-03-14T01:34:24.296+0000|61.0.119.29|Firefox|right|5
274877909471|2010-05-29T11:41:28.975+0000|49.32.251.119|Firefox|cool|4
687194769903|2010-12-01T09:07:25.123+0000|27.54.148.55|Firefox|fine|4
1236950583807|2011-08-17T17:13:15.326+0000|1.186.20.211|Safari|About Alec Baldwin, es in films suAbout Northern Ireland, onists, who arAbout Iri|81
1649267444240|2012-01-08T20:13:55.367+0000|61.11.52.250|Internet Explorer|cool|4
1236950583861|2011-07-30T17:32:13.155+0000|61.95.139.96|Firefox|About William the Conqueror, the Conqueror or WAbout Leander Paes,  men's doubles/mixAbo|88
1924145351237|2012-05-09T18:54:18.488+0000|61.11.12.78|Firefox|no|2
1924145351252|2012-05-09T08:29:16.527+0000|49.32.251.119|Firefox|no way!|7
1924145351283|2012-07-09T01:18:51.780+0000|187.115.162.120|Chrome|roflol|6
1786706397828|2012-03-23T08:52:46.482+0000|202.62.107.24|Firefox|LOL|3
1924145351317|2012-05-11T14:41:24.650+0000|60.254.50.43|Chrome|thanks|6
1649267444392|2012-03-06T11:05:29.442+0000|27.113.253.185|Internet Explorer|About Honduras, tiate it from British Honduras, which became the modern-day state of B|86
1374389537464|2011-09-18T21:42:17.761+0000|27.61.219.156|Firefox|thx|3
274877909705|2010-06-18T10:38:40.911+0000|61.2.120.54|Internet Explorer|duh|3
